rank,archetype,combined_archetype_entries,representative_player,quantity,set_code,collector_number,raw_locator,top10,limitless_card_url,archetype_tag,meta_tag_top50,meta_tag_top10
1,Dragapult,1931,Neddy Kosek,4,ASC,158,ASC-158,True,https://limitlesstcg.com/cards/ASC/158,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,4,ASC,159,ASC-159,True,https://limitlesstcg.com/cards/ASC/159,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,2,ASC,160,ASC-160,True,https://limitlesstcg.com/cards/ASC/160,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,2,PRE,35,PRE-35,True,https://limitlesstcg.com/cards/PRE/35,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,2,PRE,36,PRE-36,True,https://limitlesstcg.com/cards/PRE/36,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,PRE,37,PRE-37,True,https://limitlesstcg.com/cards/PRE/37,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,ASC,16,ASC-16,True,https://limitlesstcg.com/cards/ASC/16,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,ASC,99,ASC-99,True,https://limitlesstcg.com/cards/ASC/99,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,ASC,142,ASC-142,True,https://limitlesstcg.com/cards/ASC/142,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,POR,62,POR-62,True,https://limitlesstcg.com/cards/POR/62,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,4,MEG,119,MEG-119,True,https://limitlesstcg.com/cards/MEG/119,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,3,SCR,133,SCR-133,True,https://limitlesstcg.com/cards/SCR/133,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,2,MEG,114,MEG-114,True,https://limitlesstcg.com/cards/MEG/114,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,PFL,87,PFL-87,True,https://limitlesstcg.com/cards/PFL/87,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,4,POR,81,POR-81,True,https://limitlesstcg.com/cards/POR/81,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,4,ASC,184,ASC-184,True,https://limitlesstcg.com/cards/ASC/184,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,4,MEG,131,MEG-131,True,https://limitlesstcg.com/cards/MEG/131,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,4,POR,71,POR-71,True,https://limitlesstcg.com/cards/POR/71,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,2,ASC,196,ASC-196,True,https://limitlesstcg.com/cards/ASC/196,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,TWM,165,TWM-165,True,https://limitlesstcg.com/cards/TWM/165,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,CRI,82,CRI-82,True,https://limitlesstcg.com/cards/CRI/82,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,TWM,150,TWM-150,True,https://limitlesstcg.com/cards/TWM/150,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,TWM,153,TWM-153,True,https://limitlesstcg.com/cards/TWM/153,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,1,ASC,210,ASC-210,True,https://limitlesstcg.com/cards/ASC/210,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,3,MEE,5,MEE-5,True,https://limitlesstcg.com/cards/MEE/5,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,3,MEE,2,MEE-2,True,https://limitlesstcg.com/cards/MEE/2,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
1,Dragapult,1931,Neddy Kosek,2,MEE,7,MEE-7,True,https://limitlesstcg.com/cards/MEE/7,ptcg::archetype::dragapult,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,4,TWM,25,TWM-25,True,https://limitlesstcg.com/cards/TWM/25,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,2,TWM,17,TWM-17,True,https://limitlesstcg.com/cards/TWM/17,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,2,TWM,18,TWM-18,True,https://limitlesstcg.com/cards/TWM/18,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,2,SCR,14,SCR-14,True,https://limitlesstcg.com/cards/SCR/14,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,ASC,8,ASC-8,True,https://limitlesstcg.com/cards/ASC/8,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,MEG,8,MEG-8,True,https://limitlesstcg.com/cards/MEG/8,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,MEG,9,MEG-9,True,https://limitlesstcg.com/cards/MEG/9,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,ASC,9,ASC-9,True,https://limitlesstcg.com/cards/ASC/9,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,2,MEG,10,MEG-10,True,https://limitlesstcg.com/cards/MEG/10,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,SCR,114,SCR-114,True,https://limitlesstcg.com/cards/SCR/114,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,SCR,115,SCR-115,True,https://limitlesstcg.com/cards/SCR/115,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,POR,62,POR-62,True,https://limitlesstcg.com/cards/POR/62,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,ASC,142,ASC-142,True,https://limitlesstcg.com/cards/ASC/142,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,MEG,12,MEG-12,True,https://limitlesstcg.com/cards/MEG/12,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,SFA,6,SFA-6,True,https://limitlesstcg.com/cards/SFA/6,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,4,MEG,119,MEG-119,True,https://limitlesstcg.com/cards/MEG/119,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,2,MEG,114,MEG-114,True,https://limitlesstcg.com/cards/MEG/114,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,2,PFL,87,PFL-87,True,https://limitlesstcg.com/cards/PFL/87,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,SCR,132,SCR-132,True,https://limitlesstcg.com/cards/SCR/132,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,TWM,155,TWM-155,True,https://limitlesstcg.com/cards/TWM/155,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,4,TWM,143,TWM-143,True,https://limitlesstcg.com/cards/TWM/143,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,2,POR,81,POR-81,True,https://limitlesstcg.com/cards/POR/81,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,2,MEG,131,MEG-131,True,https://limitlesstcg.com/cards/MEG/131,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,ASC,196,ASC-196,True,https://limitlesstcg.com/cards/ASC/196,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,TWM,165,TWM-165,True,https://limitlesstcg.com/cards/TWM/165,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,1,CRI,82,CRI-82,True,https://limitlesstcg.com/cards/CRI/82,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,3,MEG,117,MEG-117,True,https://limitlesstcg.com/cards/MEG/117,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
2,Ogerpon Meganium,387,Grant Walworth,14,MEE,1,MEE-1,True,https://limitlesstcg.com/cards/MEE/1,ptcg::archetype::ogerpon_meganium,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,4,MEG,54,MEG-54,True,https://limitlesstcg.com/cards/MEG/54,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,4,MEG,55,MEG-55,True,https://limitlesstcg.com/cards/MEG/55,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,3,MEG,56,MEG-56,True,https://limitlesstcg.com/cards/MEG/56,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,3,JTG,120,JTG-120,True,https://limitlesstcg.com/cards/JTG/120,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,3,TEF,129,TEF-129,True,https://limitlesstcg.com/cards/TEF/129,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,SSP,87,SSP-87,True,https://limitlesstcg.com/cards/SSP/87,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,BLK,40,BLK-40,True,https://limitlesstcg.com/cards/BLK/40,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,SFA,40,SFA-40,True,https://limitlesstcg.com/cards/SFA/40,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,ASC,142,ASC-142,True,https://limitlesstcg.com/cards/ASC/142,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,DRI,10,DRI-10,True,https://limitlesstcg.com/cards/DRI/10,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,4,PFL,87,PFL-87,True,https://limitlesstcg.com/cards/PFL/87,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,3,WHT,84,WHT-84,True,https://limitlesstcg.com/cards/WHT/84,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,2,MEG,114,MEG-114,True,https://limitlesstcg.com/cards/MEG/114,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,TWM,155,TWM-155,True,https://limitlesstcg.com/cards/TWM/155,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,4,ASC,184,ASC-184,True,https://limitlesstcg.com/cards/ASC/184,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,4,POR,81,POR-81,True,https://limitlesstcg.com/cards/POR/81,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
