card_key,name,archetype,archetype_tag,top10_core
Abra · MEG 054,Abra,Alakazam,ptcg::archetype::alakazam,True
Air Balloon · BLK 079,Air Balloon,Alakazam,ptcg::archetype::alakazam,True
Alakazam · MEG 056,Alakazam,Alakazam,ptcg::archetype::alakazam,True
Boss's Orders · PAL 172,Boss's Orders,Alakazam,ptcg::archetype::alakazam,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Alakazam,ptcg::archetype::alakazam,True
Dawn · PFL 087,Dawn,Alakazam,ptcg::archetype::alakazam,True
Dedenne · SSP 087,Dedenne,Alakazam,ptcg::archetype::alakazam,True
Dudunsparce · TEF 129,Dudunsparce,Alakazam,ptcg::archetype::alakazam,True
Dunsparce · JTG 120,Dunsparce,Alakazam,ptcg::archetype::alakazam,True
Elgyem · BLK 040,Elgyem,Alakazam,ptcg::archetype::alakazam,True
Enhanced Hammer · GRI 124,Enhanced Hammer,Alakazam,ptcg::archetype::alakazam,True
Enriching Energy · SSP 191,Enriching Energy,Alakazam,ptcg::archetype::alakazam,True
Fezandipiti ex · SFA 038,Fezandipiti ex,Alakazam,ptcg::archetype::alakazam,True
Genesect · SFA 040,Genesect,Alakazam,ptcg::archetype::alakazam,True
Handheld Fan · TWM 150,Handheld Fan,Alakazam,ptcg::archetype::alakazam,True
Hilda · WHT 084,Hilda,Alakazam,ptcg::archetype::alakazam,True
Kadabra · MEG 055,Kadabra,Alakazam,ptcg::archetype::alakazam,True
Lana's Aid · TWM 155,Lana's Aid,Alakazam,ptcg::archetype::alakazam,True
Lucky Helmet · TWM 158,Lucky Helmet,Alakazam,ptcg::archetype::alakazam,True
Night Stretcher · SFA 061,Night Stretcher,Alakazam,ptcg::archetype::alakazam,True
Nighttime Mine · ASC 197,Nighttime Mine,Alakazam,ptcg::archetype::alakazam,True
Poké Pad · ASC 198,Poké Pad,Alakazam,ptcg::archetype::alakazam,True
Psychic Energy · BS 101,Psychic Energy,Alakazam,ptcg::archetype::alakazam,True
Rare Candy · SSH 180,Rare Candy,Alakazam,ptcg::archetype::alakazam,True
Sacred Ash · DRI 168,Sacred Ash,Alakazam,ptcg::archetype::alakazam,True
Shaymin · DRI 010,Shaymin,Alakazam,ptcg::archetype::alakazam,True
Telepathic Psychic Energy · POR 088,Telepathic Psychic Energy,Alakazam,ptcg::archetype::alakazam,True
Archaludon ex · SSP 130,Archaludon ex,Archaludon,ptcg::archetype::archaludon,False
Battle Cage · PFL 085,Battle Cage,Archaludon,ptcg::archetype::archaludon,False
Black Belt's Training · SVP 219,Black Belt's Training,Archaludon,ptcg::archetype::archaludon,True
Boss's Orders · PAL 172,Boss's Orders,Archaludon,ptcg::archetype::archaludon,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Archaludon,ptcg::archetype::archaludon,True
Dudunsparce · TEF 129,Dudunsparce,Archaludon,ptcg::archetype::archaludon,True
Dunsparce · JTG 120,Dunsparce,Archaludon,ptcg::archetype::archaludon,True
Duraludon · SCR 106,Duraludon,Archaludon,ptcg::archetype::archaludon,False
Fan Rotom · SCR 118,Fan Rotom,Archaludon,ptcg::archetype::archaludon,False
Fezandipiti ex · SFA 038,Fezandipiti ex,Archaludon,ptcg::archetype::archaludon,True
Hilda · WHT 084,Hilda,Archaludon,ptcg::archetype::archaludon,True
Judge · FLI 108,Judge,Archaludon,ptcg::archetype::archaludon,False
Lillie's Determination · MEG 119,Lillie's Determination,Archaludon,ptcg::archetype::archaludon,True
Mega Mawile ex · MEG 094,Mega Mawile ex,Archaludon,ptcg::archetype::archaludon,False
Meowth ex · POR 062,Meowth ex,Archaludon,ptcg::archetype::archaludon,True
Metal Energy · DP 130,Metal Energy,Archaludon,ptcg::archetype::archaludon,False
Night Stretcher · SFA 061,Night Stretcher,Archaludon,ptcg::archetype::archaludon,True
Philippe · CRI 079,Philippe,Archaludon,ptcg::archetype::archaludon,False
Poké Pad · ASC 198,Poké Pad,Archaludon,ptcg::archetype::archaludon,True
Prism Tower · CRI 080,Prism Tower,Archaludon,ptcg::archetype::archaludon,False
Relicanth · TEF 084,Relicanth,Archaludon,ptcg::archetype::archaludon,False
Scoop Up Cyclone · TWM 162,Scoop Up Cyclone,Archaludon,ptcg::archetype::archaludon,False
Special Red Card · CRI 082,Special Red Card,Archaludon,ptcg::archetype::archaludon,True
Ultra Ball · BRS 150,Ultra Ball,Archaludon,ptcg::archetype::archaludon,True
Area Zero Underdepths · SCR 131,Area Zero Underdepths,Basic Box,ptcg::archetype::basic_box,True
Boss's Orders · PAL 172,Boss's Orders,Basic Box,ptcg::archetype::basic_box,True
Brock's Scouting · JTG 146,Brock's Scouting,Basic Box,ptcg::archetype::basic_box,True
Chien-Pao · SVP 152,Chien-Pao,Basic Box,ptcg::archetype::basic_box,True
Ciphermaniac's Codebreaking · TEF 145,Ciphermaniac's Codebreaking,Basic Box,ptcg::archetype::basic_box,True
Crispin · SCR 133,Crispin,Basic Box,ptcg::archetype::basic_box,True
Cyrano · SSP 170,Cyrano,Basic Box,ptcg::archetype::basic_box,True
Darkness Energy · DP 129,Darkness Energy,Basic Box,ptcg::archetype::basic_box,True
Energy Switch · SVI 173,Energy Switch,Basic Box,ptcg::archetype::basic_box,True
Fezandipiti ex · SFA 038,Fezandipiti ex,Basic Box,ptcg::archetype::basic_box,True
Fighting Energy · BS 97,Fighting Energy,Basic Box,ptcg::archetype::basic_box,True
Fire Energy · BS 98,Fire Energy,Basic Box,ptcg::archetype::basic_box,True
Grass Energy · BS 99,Grass Energy,Basic Box,ptcg::archetype::basic_box,True
Hero's Cape · TEF 152,Hero's Cape,Basic Box,ptcg::archetype::basic_box,True
Koraidon ex · ASC 121,Koraidon ex,Basic Box,ptcg::archetype::basic_box,True
Latias ex · SSP 076,Latias ex,Basic Box,ptcg::archetype::basic_box,True
Lillie's Clefairy ex · SVP 195,Lillie's Clefairy ex,Basic Box,ptcg::archetype::basic_box,True
Lillie's Determination · MEG 119,Lillie's Determination,Basic Box,ptcg::archetype::basic_box,True
Mega Kangaskhan ex · MEP 025,Mega Kangaskhan ex,Basic Box,ptcg::archetype::basic_box,True
Meowth ex · POR 062,Meowth ex,Basic Box,ptcg::archetype::basic_box,True
Moltres · PFL 014,Moltres,Basic Box,ptcg::archetype::basic_box,True
Munkidori · TWM 095,Munkidori,Basic Box,ptcg::archetype::basic_box,True
Night Stretcher · SFA 061,Night Stretcher,Basic Box,ptcg::archetype::basic_box,True
Pecharunt ex · SFA 039,Pecharunt ex,Basic Box,ptcg::archetype::basic_box,True
Prism Energy · BLK 086,Prism Energy,Basic Box,ptcg::archetype::basic_box,True
Psychic Energy · BS 101,Psychic Energy,Basic Box,ptcg::archetype::basic_box,True
Special Red Card · CRI 082,Special Red Card,Basic Box,ptcg::archetype::basic_box,True
Teal Mask Ogerpon ex · SVP 166,Teal Mask Ogerpon ex,Basic Box,ptcg::archetype::basic_box,True
Ultra Ball · BRS 150,Ultra Ball,Basic Box,ptcg::archetype::basic_box,True
Water Energy · BS 102,Water Energy,Basic Box,ptcg::archetype::basic_box,True
Wellspring Mask Ogerpon ex · TWM 064,Wellspring Mask Ogerpon ex,Basic Box,ptcg::archetype::basic_box,True
Yveltal · MEG 088,Yveltal,Basic Box,ptcg::archetype::basic_box,True
Beedrill ex · CRI 003,Beedrill ex,Beedrill,ptcg::archetype::beedrill,False
Boss's Orders · PAL 172,Boss's Orders,Beedrill,ptcg::archetype::beedrill,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Beedrill,ptcg::archetype::beedrill,True
Bug Catching Set · TWM 143,Bug Catching Set,Beedrill,ptcg::archetype::beedrill,True
Chien-Pao · SVP 152,Chien-Pao,Beedrill,ptcg::archetype::beedrill,True
Dawn · PFL 087,Dawn,Beedrill,ptcg::archetype::beedrill,True
Dudunsparce · TEF 129,Dudunsparce,Beedrill,ptcg::archetype::beedrill,True
Dunsparce · JTG 120,Dunsparce,Beedrill,ptcg::archetype::beedrill,True
Fan Rotom · SCR 118,Fan Rotom,Beedrill,ptcg::archetype::beedrill,False
Fezandipiti ex · SFA 038,Fezandipiti ex,Beedrill,ptcg::archetype::beedrill,True
Forest of Vitality · MEG 117,Forest of Vitality,Beedrill,ptcg::archetype::beedrill,True
Grass Energy · BS 99,Grass Energy,Beedrill,ptcg::archetype::beedrill,True
Hyper Aroma · TWM 152,Hyper Aroma,Beedrill,ptcg::archetype::beedrill,False
Kakuna · CRI 002,Kakuna,Beedrill,ptcg::archetype::beedrill,False
Lillie's Determination · MEG 119,Lillie's Determination,Beedrill,ptcg::archetype::beedrill,True
Night Stretcher · SFA 061,Night Stretcher,Beedrill,ptcg::archetype::beedrill,True
Poké Pad · ASC 198,Poké Pad,Beedrill,ptcg::archetype::beedrill,True
Redeemable Ticket · JTG 156,Redeemable Ticket,Beedrill,ptcg::archetype::beedrill,False
Sacred Ash · DRI 168,Sacred Ash,Beedrill,ptcg::archetype::beedrill,True
Special Red Card · CRI 082,Special Red Card,Beedrill,ptcg::archetype::beedrill,True
Ultra Ball · BRS 150,Ultra Ball,Beedrill,ptcg::archetype::beedrill,True
Weedle · CRI 001,Weedle,Beedrill,ptcg::archetype::beedrill,False
Air Balloon · BLK 079,Air Balloon,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Bloodmoon Ursaluna · SFA 025,Bloodmoon Ursaluna,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,False
Boss's Orders · PAL 172,Boss's Orders,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Counter Gain · SSP 169,Counter Gain,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,False
Crispin · SCR 133,Crispin,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Darkness Energy · DP 129,Darkness Energy,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Energy Retrieval · SVI 171,Energy Retrieval,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Energy Switch · SVI 173,Energy Switch,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Fezandipiti ex · SFA 038,Fezandipiti ex,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Fighting Energy · BS 97,Fighting Energy,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Fighting Gong · MEG 116,Fighting Gong,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Genesect · SFA 040,Genesect,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Lillie's Determination · MEG 119,Lillie's Determination,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Lunatone · MEP 004,Lunatone,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Munkidori · TWM 095,Munkidori,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Night Stretcher · SFA 061,Night Stretcher,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Poké Pad · ASC 198,Poké Pad,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Psyduck · ASC 039,Psyduck,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Risky Ruins · MEG 127,Risky Ruins,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,False
Secret Box · TWM 163,Secret Box,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Shaymin · DRI 010,Shaymin,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Solrock · MEG 075,Solrock,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Special Red Card · CRI 082,Special Red Card,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Tarragon · POR 085,Tarragon,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,False
Team Rocket's Petrel · DRI 176,Team Rocket's Petrel,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,True
Team Rocket's Venture Bomb · DRI 179,Team Rocket's Venture Bomb,Bloodmoon Ursaluna,ptcg::archetype::bloodmoon_ursaluna,False
Air Balloon · BLK 079,Air Balloon,Bronzong,ptcg::archetype::bronzong,True
Boss's Orders · PAL 172,Boss's Orders,Bronzong,ptcg::archetype::bronzong,True
Bronzong · TEF 069,Bronzong,Bronzong,ptcg::archetype::bronzong,False
Bronzor · TEF 068,Bronzor,Bronzong,ptcg::archetype::bronzong,False
Crispin · SCR 133,Crispin,Bronzong,ptcg::archetype::bronzong,True
Darkness Energy · DP 129,Darkness Energy,Bronzong,ptcg::archetype::bronzong,True
Elgyem · BLK 040,Elgyem,Bronzong,ptcg::archetype::bronzong,True
Froslass · SVP 117,Froslass,Bronzong,ptcg::archetype::bronzong,False
Hilda · WHT 084,Hilda,Bronzong,ptcg::archetype::bronzong,True
Jamming Tower · TWM 153,Jamming Tower,Bronzong,ptcg::archetype::bronzong,True
Kieran · TWM 154,Kieran,Bronzong,ptcg::archetype::bronzong,False
Latias ex · SSP 076,Latias ex,Bronzong,ptcg::archetype::bronzong,True
Lillie's Clefairy ex · SVP 195,Lillie's Clefairy ex,Bronzong,ptcg::archetype::bronzong,True
Lillie's Determination · MEG 119,Lillie's Determination,Bronzong,ptcg::archetype::bronzong,True
Lucky Helmet · TWM 158,Lucky Helmet,Bronzong,ptcg::archetype::bronzong,True
Mega Froslass ex · ASC 047,Mega Froslass ex,Bronzong,ptcg::archetype::bronzong,False
Meowth ex · POR 062,Meowth ex,Bronzong,ptcg::archetype::bronzong,True
Munkidori · TWM 095,Munkidori,Bronzong,ptcg::archetype::bronzong,True
