card_key,display_label,name,category,top10_core,top50,source_locator_count,source_locators,archetype_count,archetypes,anki_tags
Abra · MEG 054,Abra · MEG 054,Abra,Pokemon,True,True,1,MEG-54,1,Alakazam,ptcg::archetype::alakazam ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Abra · TWM 080,Abra · TWM 080,Abra,Pokemon,False,True,1,TWM-80,1,Mega Lopunny,ptcg::archetype::mega_lopunny ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Academy at Night · SFA 054,Academy at Night,Academy at Night,Trainer,True,True,1,SFA-54,1,Slowking,ptcg::archetype::slowking ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Aegislash · POR 058,Aegislash,Aegislash,Pokemon,False,True,1,POR-58,1,Doublade,ptcg::archetype::doublade ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Air Balloon · BLK 079,Air Balloon,Air Balloon,Trainer,True,True,1,ASC-181,21,Alakazam | Bloodmoon Ursaluna | Bronzong | Decidueye | Doublade | Eelektrik | Festival Lead | Flareon | Froslass Munkidori | Hop's Trevenant | Hydreigon | Marnie's Grimmsnarl | Mega Charizard X | Mega Froslass | Mega Greninja | Mega Lopunny | Mega Venusaur | Metagross | Okidogi | Palafin | Toxtricity,ptcg::archetype::alakazam ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::bronzong ptcg::archetype::decidueye ptcg::archetype::doublade ptcg::archetype::eelektrik ptcg::archetype::festival_lead ptcg::archetype::flareon ptcg::archetype::froslass_munkidori ptcg::archetype::hop_s_trevenant ptcg::archetype::hydreigon ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::mega_charizard_x ptcg::archetype::mega_froslass ptcg::archetype::mega_greninja ptcg::archetype::mega_lopunny ptcg::archetype::mega_venusaur ptcg::archetype::metagross ptcg::archetype::okidogi ptcg::archetype::palafin ptcg::archetype::toxtricity ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Alakazam · MEG 056,Alakazam · MEG 056,Alakazam,Pokemon,True,True,1,MEG-56,1,Alakazam,ptcg::archetype::alakazam ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Applin · TWM 017,Applin · TWM 017,Applin,Pokemon,True,True,1,TWM-17,2,Festival Lead | Ogerpon Meganium,ptcg::archetype::festival_lead ptcg::archetype::ogerpon_meganium ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Applin · TWM 126,Applin · TWM 126,Applin,Pokemon,False,True,1,TWM-126,1,Festival Lead,ptcg::archetype::festival_lead ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Archaludon ex · SSP 130,Archaludon ex,Archaludon ex,Pokemon,False,True,1,SSP-130,1,Archaludon,ptcg::archetype::archaludon ptcg::card_type::pokemon ptcg::mechanic::ex ptcg::meta::2026_06::top50
Area Zero Underdepths · SCR 131,Area Zero Underdepths,Area Zero Underdepths,Trainer,True,True,1,SCR-131,7,Basic Box | Flareon | Hydreigon | Joltik Box | Lillie's Clefairy | Raging Bolt | Tera Box,ptcg::archetype::basic_box ptcg::archetype::flareon ptcg::archetype::hydreigon ptcg::archetype::joltik_box ptcg::archetype::lillie_s_clefairy ptcg::archetype::raging_bolt ptcg::archetype::tera_box ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
